Timestamp(s),UE_ID,Serving_gNB,Target_gNB,Serving_SINR(dB),RSRP(dBm),Remarks
8.90,UE-1,gNB-2,gNB-3,-6.6,-93.3,Ping-Pong
9.00,UE-6,gNB-2,gNB-4,-9.9,-94.5,Ping-Pong
9.00,UE-11,gNB-3,gNB-4,-20.0,-112.1,Ping-Pong
9.10,UE-1,gNB-3,gNB-2,-20.0,-117.7,Ping-Pong
9.10,UE-7,gNB-3,gNB-4,-20.0,-103.3,Ping-Pong
10.10,UE-7,gNB-4,gNB-2,-15.2,-100.6,Ping-Pong
10.20,UE-6,gNB-4,gNB-2,-15.1,-99.9,Ping-Pong
10.40,UE-7,gNB-2,gNB-3,-20.0,-99.2,Ping-Pong
10.50,UE-8,gNB-4,gNB-1,-8.9,-95.5,Ping-Pong
10.60,UE-2,gNB-2,gNB-1,-14.2,-99.7,Ping-Pong
10.70,UE-7,gNB-3,gNB-4,-3.3,-88.7,Ping-Pong
10.80,UE-2,gNB-1,gNB-2,-6.5,-91.8,Ping-Pong
10.80,UE-4,gNB-2,gNB-4,-19.3,-105.7,Ping-Pong
10.90,UE-5,gNB-2,gNB-4,-17.4,-103.6,Ping-Pong
10.90,UE-7,gNB-4,gNB-2,3.4,-82.1,Ping-Pong
11.00,UE-8,gNB-1,gNB-2,-5.0,-91.0,Ping-Pong
11.10,UE-1,gNB-2,gNB-1,-20.0,-104.5,Ping-Pong
11.10,UE-2,gNB-2,gNB-1,-18.9,-104.1,Ping-Pong
11.10,UE-3,gNB-2,gNB-1,-13.7,-97.8,Ping-Pong
11.10,UE-4,gNB-4,gNB-1,-20.0,-104.1,Ping-Pong
11.10,UE-5,gNB-4,gNB-1,-14.9,-92.5,Ping-Pong
11.10,UE-10,gNB-4,gNB-3,-17.7,-102.3,Ping-Pong
11.20,UE-11,gNB-4,gNB-3,-0.3,-86.5,Ping-Pong
11.30,UE-7,gNB-2,gNB-4,-14.1,-98.8,Ping-Pong
11.30,UE-8,gNB-2,gNB-3,-20.0,-107.0,Ping-Pong
11.60,UE-6,gNB-2,gNB-3,-13.8,-99.2,Ping-Pong
11.60,UE-7,gNB-4,gNB-3,-20.0,-106.1,Ping-Pong
11.70,UE-2,gNB-1,gNB-2,-9.0,-95.3,Ping-Pong
11.70,UE-9,gNB-4,gNB-3,-20.0,-111.8,Ping-Pong
11.80,UE-6,gNB-3,gNB-1,-13.7,-100.2,Ping-Pong
11.80,UE-7,gNB-3,gNB-1,-20.0,-91.4,Ping-Pong
11.90,UE-2,gNB-2,gNB-1,-9.2,-95.0,Ping-Pong
12.20,UE-6,gNB-1,gNB-3,-17.6,-102.5,Ping-Pong
12.40,UE-3,gNB-1,gNB-3,-8.0,-92.6,Ping-Pong
12.40,UE-4,gNB-1,gNB-3,-3.4,-89.2,Ping-Pong
12.40,UE-6,gNB-3,gNB-1,-16.4,-102.3,Ping-Pong
12.60,UE-3,gNB-3,gNB-1,-20.0,-95.2,Ping-Pong
12.60,UE-7,gNB-1,gNB-3,-0.6,-85.8,Ping-Pong
12.80,UE-4,gNB-3,gNB-1,-3.5,-81.2,Ping-Pong
12.90,UE-6,gNB-1,gNB-3,-8.3,-92.3,Ping-Pong
13.10,UE-4,gNB-1,gNB-3,-0.2,-86.5,Ping-Pong
13.30,UE-2,gNB-1,gNB-2,-3.1,-88.7,Ping-Pong
13.70,UE-4,gNB-3,gNB-1,-16.5,-103.3,Ping-Pong
13.70,UE-5,gNB-1,gNB-3,-13.8,-100.6,Ping-Pong
13.70,UE-6,gNB-3,gNB-1,-18.5,-103.1,Ping-Pong
13.70,UE-10,gNB-3,gNB-1,7.4,-78.1,Ping-Pong
13.90,UE-7,gNB-3,gNB-1,4.4,-78.8,Ping-Pong
14.10,UE-6,gNB-1,gNB-4,-20.0,-112.5,Ping-Pong
14.10,UE-10,gNB-1,gNB-3,-16.1,-101.3,Ping-Pong
14.10,UE-11,gNB-3,gNB-4,-17.7,-96.2,Ping-Pong
14.20,UE-4,gNB-1,gNB-2,-2.4,-88.0,Ping-Pong
14.30,UE-5,gNB-3,gNB-4,-6.0,-88.2,Ping-Pong
14.30,UE-9,gNB-3,gNB-4,-20.0,-109.9,Ping-Pong
14.40,UE-2,gNB-2,gNB-1,-2.8,-87.8,Ping-Pong
14.40,UE-8,gNB-3,gNB-4,-16.3,-102.1,Ping-Pong
14.50,UE-1,gNB-1,gNB-2,-16.6,-100.3,Ping-Pong
14.60,UE-2,gNB-1,gNB-2,-6.9,-90.9,Ping-Pong
14.70,UE-1,gNB-2,gNB-1,3.4,-80.8,Ping-Pong
14.70,UE-3,gNB-1,gNB-2,-18.5,-103.3,Ping-Pong
14.70,UE-6,gNB-4,gNB-2,-8.2,-92.8,Ping-Pong
14.70,UE-10,gNB-3,gNB-4,-11.5,-94.0,Ping-Pong
14.90,UE-3,gNB-2,gNB-1,-2.9,-89.4,Ping-Pong
14.90,UE-6,gNB-2,gNB-4,-17.7,-100.9,Ping-Pong
14.90,UE-10,gNB-4,gNB-2,-13.8,-100.4,Ping-Pong
15.00,UE-1,gNB-1,gNB-2,-20.0,-102.4,Ping-Pong
15.00,UE-7,gNB-1,gNB-4,-7.9,-89.8,Ping-Pong
15.10,UE-3,gNB-1,gNB-2,-16.0,-101.2,Ping-Pong
15.10,UE-6,gNB-4,gNB-2,-19.6,-102.9,Ping-Pong
15.10,UE-10,gNB-2,gNB-4,-20.0,-104.6,Ping-Pong
15.40,UE-6,gNB-2,gNB-4,0.9,-84.8,Ping-Pong
15.50,UE-7,gNB-4,gNB-2,-8.1,-93.1,Ping-Pong
15.70,UE-5,gNB-4,gNB-2,-16.4,-101.8,Ping-Pong
15.80,UE-7,gNB-2,gNB-4,-11.7,-95.7,Ping-Pong
16.00,UE-6,gNB-4,gNB-2,-1.7,-86.5,Ping-Pong
16.10,UE-3,gNB-2,gNB-4,-1.7,-87.9,Ping-Pong
16.20,UE-5,gNB-2,gNB-1,-11.3,-97.7,Ping-Pong
16.50,UE-3,gNB-4,gNB-2,-20.0,-94.3,Ping-Pong
16.60,UE-5,gNB-1,gNB-2,-17.0,-102.5,Ping-Pong
16.80,UE-2,gNB-2,gNB-3,-14.2,-98.0,Ping-Pong
16.80,UE-5,gNB-2,gNB-4,-16.7,-101.3,Ping-Pong
16.80,UE-8,gNB-4,gNB-3,-20.0,-86.0,Ping-Pong
17.00,UE-3,gNB-2,gNB-1,-18.3,-104.3,Ping-Pong
17.00,UE-5,gNB-4,gNB-1,-13.3,-99.5,Ping-Pong
17.10,UE-9,gNB-4,gNB-3,-7.8,-93.7,Ping-Pong
17.10,UE-11,gNB-4,gNB-3,-12.8,-99.5,Ping-Pong
